UnitType;;;;;;;;
UNIT_SETTLER;FLAVOR_EXPANSION;21;;;;;;
UNIT_WORKER;FLAVOR_TILE_IMPROVEMENT;30;;;;;;
UNIT_WARRIOR;FLAVOR_RECON;1;FLAVOR_OFFENSE;2;FLAVOR_DEFENSE;2;;
UNIT_AZTEC_JAGUAR;FLAVOR_RECON;2;FLAVOR_OFFENSE;4;FLAVOR_DEFENSE;4;;
UNIT_SCOUT;FLAVOR_RECON;7;;;;;;
UNIT_ARCHER;FLAVOR_OFFENSE;1;FLAVOR_DEFENSE;1;FLAVOR_RANGED;5;;
UNIT_BARBARIAN_ARCHER;FLAVOR_OFFENSE;2;FLAVOR_DEFENSE;2;FLAVOR_RANGED;5;;
UNIT_SPEARMAN;FLAVOR_OFFENSE;2;FLAVOR_DEFENSE;4;;;;
UNIT_BARBARIAN_SPEARMAN;FLAVOR_OFFENSE;2;FLAVOR_DEFENSE;4;;;;
UNIT_GREEK_HOPLITE;FLAVOR_OFFENSE;4;FLAVOR_DEFENSE;8;;;;
UNIT_PERSIAN_IMMORTAL;FLAVOR_OFFENSE;4;FLAVOR_DEFENSE;8;;;;
UNIT_CHARIOT_ARCHER;FLAVOR_OFFENSE;2;FLAVOR_RANGED;4;FLAVOR_MOBILE;1;;
UNIT_EGYPTIAN_WARCHARIOT;FLAVOR_OFFENSE;3;FLAVOR_DEFENSE;1;FLAVOR_RANGED;8;FLAVOR_MOBILE;4
UNIT_INDIAN_WARELEPHANT;FLAVOR_OFFENSE;3;FLAVOR_DEFENSE;3;FLAVOR_RANGED;8;FLAVOR_MOBILE;2
UNIT_SWORDSMAN;FLAVOR_OFFENSE;6;FLAVOR_DEFENSE;6;;;;
UNIT_BARBARIAN_SWORDSMAN;FLAVOR_OFFENSE;5;FLAVOR_DEFENSE;5;;;;
UNIT_IROQUOIAN_MOHAWKWARRIOR;FLAVOR_OFFENSE;10;FLAVOR_DEFENSE;10;;;;
UNIT_ROMAN_LEGION;FLAVOR_OFFENSE;10;FLAVOR_DEFENSE;10;FLAVOR_INFRASTRUCTURE;10;;
