UnitType;UniqueName;GreatWorkType
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_MERIT_PTAH;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_XI_LING_SHI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_NABU_RIMANNI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_SOCRATES;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_PLATO;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ARISTOTLE;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_EUCLID;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_PTOLEMY;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_HYPATIA;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ZU_CHONGZHI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ARYABHATA;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_AL_KINDI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_AL_KHWARIZMI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_AL_RAZI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ALHAZEN;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_NICOLAUS_COPERNICUS;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_FRANCIS_BACON;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_TYCHO_BRAHE;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_JOHANNES_KEPLER;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ISAAC_NEWTON;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_GALILEO_GALILEI;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_RENE_DESCARTES;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ANTONY_VAN_LEEUWENHOEK;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_GOTTFRIED_LEIBNIZ;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_MIKHAIL_LOMONOSOV;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ANTOINE_LAURENT_LAVOISIER;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_CARL_FRIEDRICH_GAUSS;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_JOHN_DALTON;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_MICHAEL_FARADAY;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_JAMES_CLERK_MAXWELL;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_LOUIS_PASTEUR;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_CHARLES_DARWIN;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ERNEST_RUTHERFORD;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_MARIE_CURIE;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_ALBERT_EINSTEIN;
UNIT_SCIENTIST;TXT_KEY_GREAT_PERSON_NIELS_BOHR;
